Al2O3,CaO,MgO,SiO2,Tliq.C
12.02229,5.464806,18.24826,64.26465,1320
12.11712,8.812654,15.32682,63.74341,1227
12.09934,10.99966,15.30434,61.59667,1272
11.99606,8.724612,18.20844,61.07089,1225
11.69654,2.126693,26.63071,59.54605,1335
11.88596,7.563969,21.04821,59.50187,1304
11.77786,6.424438,23.83632,57.96138,1292
11.67997,4.247363,26.593,57.47966,1318
11.5837,2.106177,29.30423,57.00589,1338
11.81894,8.595798,22.42451,57.16075,1292
11.71206,7.453301,25.1846,55.65005,1292
11.56746,4.206446,29.26313,54.96297,1329
11.47302,2.086053,31.92665,54.51427,1339
12.00364,15.27772,16.70162,56.01702,1284
11.55935,5.254373,29.24262,53.94366,1334
11.63877,9.52285,26.49917,52.33921,1317
11.35661,3.09733,34.47569,51.07037,1370
11.43326,7.275881,31.816,49.47486,1370
11.90944,19.48864,18.07697,50.52495,1317
11.75996,16.03668,22.31259,49.89077,1279
11.51899,10.47205,29.14051,48.86846,1365
12.22798,33.34982,7.733527,46.68867,1305
11.96766,27.19986,15.13777,45.69471,1305
11.71819,21.30629,22.23333,44.74219,1291
11.4789,15.65342,29.03911,43.82857,1380
11.2492,10.22678,35.57251,42.95151,1443
11.80826,24.69057,19.41699,44.08418,1300
12.00134,30.54958,13.66234,43.78674,1282
11.65305,22.24725,23.58372,42.51599,1353
12.09583,34.08906,10.70993,43.10518,1260
11.99261,31.61763,13.65241,42.73734,1270
11.79137,26.7992,19.38923,42.02019,1336
12.29852,40.25064,4.666883,42.78396,1300
12.13917,36.41837,9.212832,42.22963,1300
12.03522,33.91822,12.17858,41.86799,1284
11.9244,32.52184,15.08305,40.4707,1290
11.67671,26.5386,22.15463,39.63007,1415
11.4391,20.79885,28.93842,38.82364,1480
11.21097,15.28804,35.45162,38.04937,1525
10.99176,9.992743,41.71011,37.30539,1575
12.01768,36.05387,12.16084,39.76761,1327
12.06046,38.37508,10.67861,38.88586,1353
11.90718,34.63988,15.06128,38.39166,1366
11.83993,35.52062,16.47383,36.16562,1398
11.74101,33.08909,19.30642,35.86348,1450
12.13799,44.1392,7.676617,36.04619,1454
11.88145,37.8055,15.02873,35.28432,1405
11.63552,31.73399,22.07649,34.554,1480
11.39957,25.90872,28.83842,33.85329,1592
11.81449,38.6665,16.43843,33.08059,1455
11.71599,36.21392,19.26528,32.8048,1488
11.79759,40.75625,16.41492,31.03124,1455
12.0935,49.47456,7.648475,30.78347,1505
11.83881,43.05123,14.9748,30.13517,1447
